region,animal,decoder,contrast,alignment,auc_total,auc_-2.45_-1.95s,auc_-1.95_-1.45s,auc_-1.45_-0.95s,auc_-0.95_-0.45s,auc_-0.45_0.05s,auc_0.05_0.55s,auc_0.55_1.05s,auc_1.05_1.55s,auc_1.55_2.05s,auc_2.05_2.45s
CB,3_Toblerone,LDA,Dominant,Reach,3.609,0.3383,0.3413,0.3542,0.3467,0.359,0.3513,0.3617,0.3473,0.3582,0.3026
CB,3_Toblerone,LDA,Center,Init,3.2317,0.2971,0.3014,0.3048,0.3208,0.3224,0.3179,0.3223,0.3243,0.3298,0.258
CB,3_Toblerone,LDA,Center,Reach,3.1946,0.2899,0.2965,0.3054,0.3075,0.3135,0.3101,0.308,0.3213,0.3422,0.2689
CB,3_Toblerone,LDA,Non-dominant,Init,3.0981,0.2841,0.2807,0.2948,0.2918,0.2966,0.3062,0.3168,0.3237,0.3179,0.2575
CB,3_Toblerone,LDA,Non-dominant,Reach,3.0677,0.2701,0.2794,0.2906,0.29,0.3037,0.2968,0.3081,0.312,0.3325,0.262
CB,3_Toblerone,Naive Bayes,Push / Pull,Init,3.6021,0.3076,0.3226,0.3155,0.3307,0.3507,0.3387,0.3911,0.3953,0.3941,0.3114
CB,3_Toblerone,Naive Bayes,Push / Pull,Reach,3.1609,0.3154,0.3207,0.296,0.299,0.3005,0.307,0.3061,0.3023,0.3254,0.261
CB,3_Toblerone,Naive Bayes,Dominant,Init,2.9742,0.2763,0.2839,0.2963,0.2886,0.3028,0.2807,0.3043,0.287,0.299,0.2333
CB,3_Toblerone,Naive Bayes,Dominant,Reach,3.2352,0.2957,0.3086,0.2974,0.3046,0.3391,0.316,0.3236,0.3181,0.3255,0.2699
CB,3_Toblerone,Naive Bayes,Center,Init,3.2034,0.2934,0.2918,0.3095,0.3179,0.343,0.3152,0.3205,0.3103,0.3179,0.251
CB,3_Toblerone,Naive Bayes,Center,Reach,2.9887,0.2801,0.2869,0.2747,0.2907,0.2963,0.2973,0.2927,0.2894,0.309,0.2494
CB,3_Toblerone,Naive Bayes,Non-dominant,Init,2.9892,0.261,0.2484,0.27,0.2758,0.2909,0.3019,0.3306,0.3178,0.3132,0.2584
CB,3_Toblerone,Naive Bayes,Non-dominant,Reach,2.9101,0.2732,0.2807,0.2876,0.279,0.2863,0.2694,0.2798,0.2901,0.2979,0.2426
CB,3_Toblerone,Kalman,Push / Pull,Init,3.5581,0.3094,0.3212,0.3051,0.3139,0.3373,0.3317,0.395,0.3975,0.4011,0.3031
CB,3_Toblerone,Kalman,Push / Pull,Reach,3.8704,0.3654,0.375,0.3728,0.3476,0.3632,0.3781,0.3848,0.3894,0.4054,0.3308
CB,3_Toblerone,Kalman,Dominant,Init,3.5792,0.3441,0.3475,0.3437,0.3207,0.3431,0.3434,0.3578,0.3707,0.3759,0.285
CB,3_Toblerone,Kalman,Dominant,Reach,3.876,0.3562,0.3709,0.3665,0.3637,0.3836,0.3901,0.3917,0.382,0.3929,0.3199
CB,3_Toblerone,Kalman,Center,Init,3.5949,0.3397,0.3373,0.3364,0.3461,0.3674,0.3473,0.3566,0.359,0.3801,0.2777
CB,3_Toblerone,Kalman,Center,Reach,3.55,0.3169,0.3199,0.3425,0.3356,0.3467,0.3474,0.3518,0.3645,0.3785,0.3031
CB,3_Toblerone,Kalman,Non-dominant,Init,3.3749,0.3117,0.2985,0.3064,0.3053,0.3281,0.3334,0.3497,0.3553,0.3575,0.2892
CB,3_Toblerone,Kalman,Non-dominant,Reach,3.3897,0.2867,0.2977,0.3194,0.3167,0.3356,0.3335,0.3458,0.3518,0.37,0.293
