region,animal,decoder,contrast,alignment,auc_total,auc_-2.45_-1.95s,auc_-1.95_-1.45s,auc_-1.45_-0.95s,auc_-0.95_-0.45s,auc_-0.45_0.05s,auc_0.05_0.55s,auc_0.55_1.05s,auc_1.05_1.55s,auc_1.55_2.05s,auc_2.05_2.45s
BG,3_Toblerone,Naive Bayes,Non-dominant,Reach,2.8614,0.2677,0.2756,0.2809,0.2614,0.2789,0.2804,0.288,0.2908,0.2925,0.2253
BG,3_Toblerone,Kalman,Push / Pull,Init,3.3834,0.2848,0.2727,0.286,0.2941,0.3197,0.3217,0.3821,0.3671,0.3931,0.321
BG,3_Toblerone,Kalman,Push / Pull,Reach,3.431,0.3136,0.3346,0.3303,0.3282,0.3241,0.3108,0.3246,0.3394,0.3755,0.3119
BG,3_Toblerone,Kalman,Dominant,Init,2.9616,0.2624,0.2549,0.266,0.2536,0.2812,0.2874,0.3136,0.312,0.342,0.2658
BG,3_Toblerone,Kalman,Dominant,Reach,3.1954,0.3105,0.3105,0.2982,0.298,0.3445,0.303,0.3003,0.3154,0.3217,0.2632
BG,3_Toblerone,Kalman,Center,Init,3.0766,0.2558,0.2612,0.283,0.2926,0.3204,0.3119,0.3182,0.3149,0.3326,0.2574
BG,3_Toblerone,Kalman,Center,Reach,3.0855,0.2863,0.286,0.2817,0.2908,0.3211,0.281,0.3053,0.3096,0.3285,0.2704
BG,3_Toblerone,Kalman,Non-dominant,Init,2.8768,0.257,0.2431,0.2554,0.2577,0.2825,0.286,0.311,0.2977,0.31,0.2558
BG,3_Toblerone,Kalman,Non-dominant,Reach,2.9079,0.2642,0.2682,0.2526,0.2724,0.3112,0.2898,0.2998,0.3028,0.2948,0.2304
BG,4_Milka,SVM,Push / Pull,Init,2.6312,0.2059,0.2049,0.2077,0.209,0.2422,0.2692,0.3084,0.3112,0.3163,0.25
BG,4_Milka,SVM,Push / Pull,Reach,2.3505,0.2255,0.23,0.2332,0.2351,0.2473,0.2376,0.228,0.2213,0.22,0.1752
BG,4_Milka,SVM,Dominant,Init,3.1285,0.2685,0.27,0.2764,0.2745,0.3049,0.325,0.3412,0.3342,0.3398,0.2651
BG,4_Milka,SVM,Dominant,Reach,2.4497,0.2188,0.2117,0.2432,0.2533,0.2679,0.2663,0.2437,0.2243,0.2339,0.1848
BG,4_Milka,SVM,Center,Init,2.9195,0.2673,0.2647,0.2688,0.2643,0.2852,0.3036,0.3077,0.296,0.303,0.2395
BG,4_Milka,SVM,Center,Reach,2.2798,0.2145,0.2136,0.2233,0.2264,0.2398,0.2423,0.2227,0.2099,0.2176,0.1745
BG,4_Milka,SVM,Non-dominant,Init,2.847,0.2497,0.249,0.2556,0.258,0.2749,0.2988,0.3106,0.2979,0.2996,0.2369
BG,4_Milka,SVM,Non-dominant,Reach,2.2003,0.2024,0.2091,0.2243,0.2241,0.2274,0.2279,0.213,0.2001,0.2111,0.1693
BG,4_Milka,LDA,Push / Pull,Init,3.572,0.3021,0.3024,0.3052,0.3065,0.3346,0.358,0.3966,0.3969,0.4037,0.3201
BG,4_Milka,LDA,Push / Pull,Reach,3.1172,0.2971,0.3011,0.3068,0.3074,0.3111,0.3062,0.3024,0.2983,0.3119,0.2481
BG,4_Milka,LDA,Dominant,Init,3.0433,0.2632,0.2678,0.2719,0.2712,0.297,0.3128,0.3283,0.3222,0.3278,0.2559
BG,4_Milka,LDA,Dominant,Reach,3.1982,0.2957,0.2952,0.316,0.3182,0.3287,0.3262,0.3114,0.3029,0.3177,0.2553
BG,4_Milka,LDA,Center,Init,2.8605,0.2659,0.2636,0.2675,0.2632,0.2797,0.2935,0.2961,0.2851,0.294,0.2352
BG,4_Milka,LDA,Center,Reach,2.609,0.2542,0.2485,0.2599,0.2552,0.2604,0.2626,0.2496,0.2474,0.2591,0.2046
BG,4_Milka,LDA,Non-dominant,Init,2.7943,0.2431,0.2538,0.2514,0.2561,0.2726,0.2923,0.3034,0.2863,0.2902,0.231
BG,4_Milka,LDA,Non-dominant,Reach,2.5907,0.2411,0.2438,0.2639,0.2613,0.257,0.2562,0.2512,0.246,0.2569,0.2075
BG,4_Milka,Naive Bayes,Push / Pull,Init,3.5025,0.2924,0.2855,0.2865,0.2912,0.3247,0.3405,0.3936,0.3816,0.4278,0.3377
BG,4_Milka,Naive Bayes,Push / Pull,Reach,3.1835,0.3152,0.3125,0.3211,0.3077,0.3219,0.308,0.3053,0.3022,0.3119,0.2461
BG,4_Milka,Naive Bayes,Dominant,Init,2.9319,0.2522,0.2578,0.2549,0.2509,0.2774,0.2981,0.321,0.3221,0.3286,0.2496
BG,4_Milka,Naive Bayes,Dominant,Reach,3.3483,0.3132,0.322,0.3473,0.3337,0.3475,0.3334,0.3187,0.3164,0.3251,0.2519
BG,4_Milka,Naive Bayes,Center,Init,2.7278,0.2415,0.2479,0.2551,0.2505,0.2613,0.273,0.2756,0.2898,0.2927,0.2278
BG,4_Milka,Naive Bayes,Center,Reach,2.6738,0.2569,0.2493,0.2548,0.2601,0.2803,0.2754,0.2577,0.2543,0.2669,0.2075
BG,4_Milka,Naive Bayes,Non-dominant,Init,2.7698,0.2466,0.2545,0.253,0.2458,0.2666,0.287,0.2869,0.2867,0.2924,0.237
BG,4_Milka,Naive Bayes,Non-dominant,Reach,2.7106,0.2531,0.2538,0.2701,0.2746,0.281,0.2742,0.2634,0.2507,0.2665,0.2115
BG,4_Milka,Kalman,Push / Pull,Init,3.256,0.2687,0.264,0.2666,0.2619,0.2967,0.3232,0.3651,0.3599,0.3942,0.3248
BG,4_Milka,Kalman,Push / Pull,Reach,2.8823,0.2749,0.2715,0.286,0.2826,0.2983,0.2917,0.2853,0.276,0.2767,0.2196
BG,4_Milka,Kalman,Dominant,Init,3.1837,0.2781,0.28,0.2727,0.2763,0.3094,0.3236,0.3413,0.3391,0.3537,0.2789
BG,4_Milka,Kalman,Dominant,Reach,2.9878,0.2691,0.2778,0.3039,0.2967,0.3129,0.3021,0.2895,0.2779,0.2968,0.2355
BG,4_Milka,Kalman,Center,Init,2.8966,0.2635,0.2685,0.2647,0.2714,0.2815,0.2872,0.3016,0.2907,0.3038,0.2451
BG,4_Milka,Kalman,Center,Reach,2.7894,0.2631,0.2614,0.2707,0.2721,0.2868,0.2834,0.2768,0.2669,0.2748,0.2173
BG,4_Milka,Kalman,Non-dominant,Init,2.896,0.2597,0.2601,0.2586,0.254,0.2801,0.2967,0.3035,0.2999,0.315,0.2502
BG,4_Milka,Kalman,Non-dominant,Reach,2.7046,0.2551,0.2578,0.2744,0.259,0.2788,0.2673,0.2631,0.2489,0.2721,0.2155
BG,5_FerreroRocher,SVM,Push / Pull,Init,3.4376,0.2827,0.2854,0.2902,0.2834,0.3281,0.3298,0.3955,0.3966,0.3989,0.3043
BG,5_FerreroRocher,SVM,Push / Pull,Reach,3.1165,0.2824,0.2895,0.2981,0.3236,0.3431,0.327,0.2989,0.2827,0.2979,0.2425
BG,5_FerreroRocher,SVM,Dominant,Init,3.5148,0.2898,0.2878,0.2917,0.2925,0.3517,0.3872,0.4225,0.4085,0.3667,0.2694
BG,5_FerreroRocher,SVM,Dominant,Reach,3.6138,0.2933,0.2998,0.3182,0.4109,0.4606,0.4121,0.368,0.3175,0.324,0.2555
BG,5_FerreroRocher,SVM,Center,Init,3.1029,0.2627,0.2664,0.2701,0.2622,0.2962,0.3453,0.3731,0.3426,0.3174,0.2378
BG,5_FerreroRocher,SVM,Center,Reach,3.1495,0.258,0.2603,0.2938,0.3546,0.4024,0.3394,0.3078,0.2861,0.2874,0.2261
BG,5_FerreroRocher,SVM,Non-dominant,Init,3.1676,0.2689,0.271,0.2628,0.2683,0.3153,0.3612,0.3834,0.3564,0.3107,0.2359
BG,5_FerreroRocher,SVM,Non-dominant,Reach,3.2314,0.2701,0.2805,0.3036,0.3545,0.4113,0.3585,0.3095,0.2816,0.2909,0.2338
BG,5_FerreroRocher,LDA,Push / Pull,Init,3.2606,0.2741,0.2803,0.2805,0.2744,0.3116,0.313,0.3677,0.3651,0.3701,0.2901
BG,5_FerreroRocher,LDA,Push / Pull,Reach,3.0142,0.2756,0.2874,0.2889,0.3177,0.3277,0.3146,0.2892,0.2709,0.2855,0.2309
BG,5_FerreroRocher,LDA,Dominant,Init,3.2768,0.2779,0.2762,0.2815,0.279,0.3271,0.3562,0.3878,0.3702,0.3323,0.2514
BG,5_FerreroRocher,LDA,Dominant,Reach,3.3996,0.2859,0.2934,0.3023,0.3829,0.4333,0.3721,0.336,0.2992,0.307,0.2435
BG,5_FerreroRocher,LDA,Center,Init,2.9333,0.2554,0.2607,0.2647,0.2585,0.2812,0.3124,0.3412,0.3117,0.2976,0.2287
BG,5_FerreroRocher,LDA,Center,Reach,2.9879,0.2545,0.2577,0.2774,0.3281,0.3674,0.3117,0.2907,0.2737,0.2817,0.2195
BG,5_FerreroRocher,LDA,Non-dominant,Init,2.9525,0.2597,0.2586,0.2574,0.2565,0.2909,0.3306,0.3478,0.3156,0.288,0.2228
