region,animal,decoder,contrast,alignment,n_sessions,mean_peak_BAC,sem_peak_BAC,W_stat,p_value,above_chance
CB,2_Lindt,Kalman,Center,Reach,6,0.7923,0.0169,21.0,0.0156,True
CB,2_Lindt,Kalman,Non-dominant,Init,7,0.8332,0.0228,28.0,0.0078,True
CB,2_Lindt,Kalman,Non-dominant,Reach,7,0.89,0.0224,28.0,0.0078,True
CB,4_Milka,SVM,Push / Pull,Init,4,0.8479,0.0175,10.0,0.0625,False
CB,4_Milka,SVM,Push / Pull,Reach,4,0.8045,0.0264,10.0,0.0625,False
CB,4_Milka,SVM,Dominant,Init,4,0.8455,0.0414,10.0,0.0625,False
CB,4_Milka,SVM,Dominant,Reach,4,0.8456,0.0411,10.0,0.0625,False
CB,4_Milka,SVM,Center,Init,5,0.7392,0.0298,15.0,0.0312,True
CB,4_Milka,SVM,Center,Reach,4,0.755,0.0277,10.0,0.0625,False
CB,4_Milka,SVM,Non-dominant,Init,4,0.7376,0.0185,10.0,0.0625,False
CB,4_Milka,SVM,Non-dominant,Reach,3,0.7552,0.0468,6.0,0.125,False
CB,4_Milka,LDA,Push / Pull,Init,4,0.8499,0.0157,10.0,0.0625,False
CB,4_Milka,LDA,Push / Pull,Reach,4,0.7547,0.0453,10.0,0.0625,False
CB,4_Milka,LDA,Dominant,Init,4,0.8327,0.0418,10.0,0.0625,False
CB,4_Milka,LDA,Dominant,Reach,4,0.8102,0.0507,10.0,0.0625,False
CB,4_Milka,LDA,Center,Init,5,0.7695,0.0242,15.0,0.0312,True
CB,4_Milka,LDA,Center,Reach,4,0.7276,0.0311,10.0,0.0625,False
CB,4_Milka,LDA,Non-dominant,Init,4,0.7469,0.0139,10.0,0.0625,False
CB,4_Milka,LDA,Non-dominant,Reach,3,0.7505,0.0423,6.0,0.125,False
CB,4_Milka,Naive Bayes,Push / Pull,Init,4,0.8391,0.015,10.0,0.0625,False
CB,4_Milka,Naive Bayes,Push / Pull,Reach,4,0.7358,0.0269,10.0,0.0625,False
CB,4_Milka,Naive Bayes,Dominant,Init,4,0.7906,0.0414,10.0,0.0625,False
CB,4_Milka,Naive Bayes,Dominant,Reach,4,0.7884,0.0462,10.0,0.0625,False
CB,4_Milka,Naive Bayes,Center,Init,5,0.7381,0.0172,15.0,0.0312,True
CB,4_Milka,Naive Bayes,Center,Reach,4,0.7061,0.0206,10.0,0.0625,False
CB,4_Milka,Naive Bayes,Non-dominant,Init,4,0.7014,0.0096,10.0,0.0625,False
CB,4_Milka,Naive Bayes,Non-dominant,Reach,3,0.6912,0.029,6.0,0.125,False
CB,4_Milka,Kalman,Push / Pull,Init,4,0.8314,0.0115,10.0,0.0625,False
CB,4_Milka,Kalman,Push / Pull,Reach,4,0.7997,0.0289,10.0,0.0625,False
CB,4_Milka,Kalman,Dominant,Init,4,0.8287,0.0384,10.0,0.0625,False
